title,listed_in,description,new_description,cluster_id,,,
Jaws,"Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",when an insatiable great white shark terrorizes amity island a police chief an oceanographer and a grizzled shark hunter seek to destroy the beast,15,,,
Jaws 2,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",four years after the last deadly shark attacks police chief martin brody fights to protect amity island from another killer great white,15,,,
Jaws 3,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",after the staff of a marine theme park try to capture a young great white shark they discover its mother has invaded the enclosure and is out for blood,10,,,
Jaws: The Revenge,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there.",after another deadly shark attack ellen brody has had enough of amity island and moves to the caribbean â€“ but a great white shark follows her there,5,,,
My Heroes Were Cowboys,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",robin wiltshire s painful childhood was rescued by westerns now he lives on the frontier of his dreams training the horses he loves for the big screen,25,,,
Safe House,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,young cia operative matt weston must get a dangerous criminal out of an agency safe house that s come under attack and get him to a securer location,15,,,
Training Day,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor s questionable brand of justice,19,,,
InuYasha the Movie 2: The Castle Beyond the Looking Glass,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",with their biggest foe seemingly defeated inuyasha and his friends return to everyday life but the peace is soon shattered by an emerging new enemy,0,,,
InuYasha the Movie 3: Swords of an Honorable Ruler,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,the great dog demon beaqueathed one of the three swords of the fang to each of his two sons now the evil power of the third sword has been awakened,7,,,
InuYasha the Movie 4: Fire on the Mystic Island,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",ai a young half demon who has escaped from horai island to try to help her people returns with potential saviors inuyasha sesshomaru and kikyo,12,,,
InuYasha the Movie: Affections Touching Across Time,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",a powerful demon has been sealed away for 200 years but when the demon s son is awakened the fate of the world is in jeopardy,7,,,
Naruto Shippuden the Movie: Blood Prison,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",mistakenly accused of an attack on the fourth raikage ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed,15,,,
Naruto ShippÃ»den the Movie: Bonds,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",when strange ninjas ambush the village of konohagakure it s up to adolescent ninja naruto and his long missing pal sasuke to save the planet,7,,,
Naruto ShippÃ»den the Movie: The Will of Fire,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",when four out of five ninja villages are destroyed the leader of the one spared tries to find the true culprit and protect his land,7,,,
Naruto Shippuden: The Movie,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â€“ but to do so, he must die.",the adventures of adolescent ninja naruto uzumaki continue as he s tasked with protecting a priestess from a demon â€“ but to do so he must die,7,,,
Naruto Shippuden: The Movie: The Lost Tower,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",when naruto is sent to recover a missing nin the rogue manages to send him 20 years into the past where he unites with his father to battle evil,7,,,
Naruto the Movie 2: Legend of the Stone of Gelel,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",while on a mission to return a missing pet naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin,15,,,
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son hikaru to the crescent moon kingdom,7,,,
Naruto the Movie: Ninja Clash in the Land of Snow,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",naruto sasuke and sakura learn they ll be protecting an actress from being hurt while making her next film but it turns out she s a princess,7,,,
Nightbooks,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night â€” or stay trapped with his new friend in a wicked witch's magical apartment forever.,scary story fan alex must tell a spine tingling tale every night â€” or stay trapped with his new friend in a wicked witch s magical apartment forever,18,,,
Schumacher,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",through exclusive interviews and archival footage this documentary traces an intimate portrait of seven time formula 1 champion michael schumacher,20,,,
A StoryBots Space Adventure,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids questions about space,10,,,
King of Boys,"Dramas, International Movies","When a powerful businesswomanâ€™s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",when a powerful businesswomanâ€™s political ambitions are threatened by her underworld connections the ensuing power struggle could cost her everything,0,,,
You vs. Wild: Out Cold,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",after a plane crash leaves bear with amnesia he must make choices to save the missing pilot and survive in this high stakes interactive adventure,10,,,
Little Singham - Black Shadow,"Children & Family Movies, Comedies",Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâ€™s new evil plans! Can his inner strength help him defeat the enemy?,kid cop little singham loses all his superpowers while trying to stop the demon kaalâ€™s new evil plans can his inner strength help him defeat the enemy,7,,,
Tughlaq Durbar,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move.,a budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move,0,,,
Tughlaq Durbar (Telugu),"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move.,a budding politician has devious plans to rise in the ranks â€” until an unexpected new presence begins to interfere with his every crooked move,0,,,
Firedrake the Silver Dragon,Children & Family Movies,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",when his home is threatened by humans a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free,7,,,
Kate,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",slipped a fatal poison on her final job a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge,23,,,
Omo Ghetto: the Saga,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",twins are reunited as a good hearted female gangster and her uptight rich sister take on family crime cops and all of the trouble that follows them,22,,,
Prey,"International Movies, Thrillers",A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter,21,,,
Blood Brothers: Malcolm X & Muhammad Ali,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",from a chance meeting to a tragic fallout malcolm x and muhammad ali s extraordinary bond cracks under the weight of distrust and shifting ideals,1,,,
Paradise Hills,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. Thatâ€™s bad enough, but its real purpose is even worse.",uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies thatâ€™s bad enough but its real purpose is even worse,11,,,
The Women and the Murderer,"Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,this documentary traces the capture of serial killer guy georges through the tireless work of two women a police chief and a victim s mother,3,,,
JJ+E,"Dramas, International Movies, Romantic Movies","Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?",elisabeth and john john live in the same city but they inhabit different worlds can a passionate first love break through class and cultural barriers,6,,,
Show Dogs,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.,a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale,15,,,
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant.",using interviews and archival footage this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant,20,,,
Untold: Breaking Point,"Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",under pressure to continue a winning tradition in american tennis mardy fish faced mental health challenges that changed his life on and off the court,14,,,
Shadow Parties,"Dramas, International Movies, Thrillers",A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.,a family faces destruction in a long running conflict between communities that pits relatives against each other amid attacks and reprisals,0,,,
Angamaly Diaries,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law.",after growing up amidst the gang wars of his hometown vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law,5,,,
A Champion Heart,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",when a grieving teen must work off her debt to a ranch she cares for a wounded horse that teaches her more about healing than she expected,14,,,
Worth,Dramas,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events.",in the wake of the sept 11 attacks a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost based on real events,9,,,
Afterlife of the Party,"Comedies, Romantic Movies",Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.,cassie lives to party until she dies in a freak accident now this social butterfly needs to right her wrongs on earth if she wants to earn her wings,11,,,
Anjaam,"Dramas, International Movies, Thrillers","A wealthy industrialistâ€™s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",a wealthy industrialistâ€™s dangerous obsession with a flight attendant destroys her world until she takes matters into her own hands to exact revenge,4,,,
Bright Star,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats â€“ who died tragically at age 25 â€“ and his great love and muse.,this drama details the passionate three year romance between romantic poet john keats â€“ who died tragically at age 25 â€“ and his great love and muse,1,,,
Dhanak,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,a movie loving 10 year old and her blind little brother trek to meet indian superstar shah rukh khan for help in getting the boy an eye operation,7,,,
Final Account,Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.,this documentary stitches together never before seen interviews with the last living generation of people who participated in hitler s third reich,20,,,
Gurgaon,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems â€“ and plans â€“ of his own.",when the daughter of a wealthy family returns from college she gets a frosty welcome from her brother who has problems â€“ and plans â€“ of his own,14,,,
Here and There,"Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic.",after meeting through a heated exchange on social media two people with different backgrounds begin an online romance in the midst of a pandemic,16,,,
In the Cut,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.",after embarking on an affair with the cop probing the murder of a young woman an insular schoolteacher suspects her lover was involved in the crime,19,,,
Shikara,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.,a couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp,9,,,
A Cinderella Story,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,teen sam meets the boy of her dreams at a dance before returning to toil in her stepmother s diner can her lost cell phone bring them together,12,,,
Agatha Christie's Crooked House,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",when a detective investigates the death of his ex lover s grandfather he uncovers secrets about the tycoon s manipulative family,19,,,
An Unfinished Life,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",a grieving widow and her daughter move in with her estranged father in law in wyoming where time allows them to heal and forgive,9,,,
Barbie Big City Big Dreams,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",at a summer performing arts program in new york city barbie from malibu meets barbie from brooklyn and the two become fast friends,24,,,
Blade Runner: The Final Cut,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",in a smog choked dystopian los angeles blade runner rick deckard is called out of retirement to snuff a quartet of escaped replicants,5,,,
Chappie,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",in a futuristic society where an indestructible robot police force keeps crime at bay a lone droid evolves to the next level of artificial intelligence,15,,,
Clear and Present Danger,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",when the president s friend is murdered cia deputy director jack ryan becomes unwittingly involved in an illegal war against a colombian drug cartel,15,,,
Cliffhanger,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",ranger gabe walker and his partner are called to rescue a group of stranded climbers only to learn the climbers are actually thieving hijackers,15,,,
Cold Mountain,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",this drama follows a wounded civil war soldier making the long journey home while his faraway love fights for survival on her deceased father s farm,13,,,
Crocodile Dundee in Los Angeles,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",when mick crocodile dundee and his family land in los angeles they soon learn some lessons about american life in this comedy sequel,6,,,
Dear John,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",while on summer leave a u s soldier falls for a college student but when he s forced to reenlist their handwritten letters hold the lovers together,24,,,
Do the Right Thing,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",on a sweltering day in brooklyn simmering racial tensions between residents rise to the surface and ignite rage violence and tragedy,0,,,
El patrÃ³n, radiografÃ­a de un crimen,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,a lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in buenos aires led to tragedy based on a true case,19,,
Extraction,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",when a retired cia agent is kidnapped his son a government analyst embarks on an unauthorized mission to find him and halt a terrorist plot,15,,,
Freedom Writers,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",while her at risk students are reading classics such as the diary of anne frank a teacher asks them to keep journals about their troubled lives,11,,,
Green Lantern,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,test pilot hal jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat,7,,,
House Party,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",grounded by his strict father kid risks life and limb to go to his best friend play s big bash but experiences one obstacle after another,11,,,
House Party 2,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",kid goes off to college with scholarship money but when play loses kid s tuition funds to a shady music promoter they devise a wild plan to raise cash,24,,,
House Party 3,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",after kid gets engaged play plans to throw the biggest bachelor party ever but every celebration for these two always comes with complications,8,,,
I Got the Hook Up,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",after getting their hands on a misdirected shipment of cell phones two hustlers try to cash in by hawking the merchandise from the back of their van,25,,,
In Too Deep,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",rookie cop jeffrey cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery intimidation and murder,22,,,
Initial D,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",by day an 18 year old delivers tofu for his father a retired race car driver; but by night it s the teen s turn to take the wheel,5,,,
Janoskians: Untold and Untrue,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,follow the story of three australian brothers and their two friends who became an international sensation by posting pranks and gags on youtube,6,,,
Labyrinth,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",in jim henson s fantasy teen sarah embarks on a life altering quest to rescue her little brother from the clutches of a treacherous goblin,12,,,
Letters to Juliet,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",by responding to a letter addressed to shakespeare s tragic heroine juliet capulet an american woman in verona italy is led in search of romance,12,,,
Level 16,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",in a bleak academy that teaches girls the virtues of passivity two students uncover the ghastly purpose behind their training and resolve to escape,10,,,
Love Don't Cost a Thing,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,a nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend,24,,,
Love in a Puff,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",when the hong kong government enacts a ban on smoking cigarettes indoors the new law drives hard core smokers outside facilitating unlikely connections,4,,,
Mars Attacks!,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",as flying saucers head for earth the president of the united states prepares to welcome alien visitors but soon learns they re not coming in peace,18,,,
Marshall,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",this biopic of thurgood marshall the first black u s supreme court justice centers on his pivotal work in a sensational case as an naacp lawyer,25,,,
My Boss's Daughter,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",a young man house sits for his mean boss hoping to use it as an opportunity to win the heart of the boss s daughter on whom he s long had a crush,11,,,
Mystery Men,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,a team of far from super heroes try to earn respect by springing into action when brave and dashing captain amazing disappears,7,,,
Once Upon a Time in America,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,director sergio leone s sprawling crime epic follows a group of jewish mobsters who rise in the ranks of organized crime in 1920s new york city,4,,,
Open Season 2,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,elliot the buck and his forest dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity,7,,,
Osmosis Jones,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,peter and bobby farrelly outdo themselves with this partially animated tale about an out of shape 40 year old man who s the host to various organisms,11,,,
Poseidon,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",a tidal wave spells disaster for a ship of new year s eve revelers when it capsizes the mammoth vessel sending passengers into a battle for survival,10,,,
Rhyme & Reason,"Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",the world and culture of rap song topics such as race violence police family and sex are examined by hip hop performers from both coasts,3,,,
Same Kind of Different as Me,"Dramas, Faith & Spirituality",A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,a wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story,8,,,
School of Rock,"Comedies, Music & Musicals","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",musician dewey finn gets a job as a fourth grade substitute teacher where he secretly begins teaching his students the finer points of rock n roll,24,,,
Snervous Tyler Oakley,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",the inspiring internet star and lgbt advocate shares an intimate view of his life and relationships during his international slumber party tour,20,,,
